TIMESTAMP,Sand_Precip,Slate_Precip,Rad
2017-04-09 16:50:00,0.0,0.0,375.0
2017-04-09 17:50:00,0.0,0.0,204.03
2017-04-09 18:50:00,0.0,0.0,37.9
2017-04-09 19:50:00,0.0,0.0,0.81
2017-04-09 20:50:00,0.0,0.0,0.81
2017-04-09 21:50:00,0.0,0.0,0.81
2017-04-09 22:50:00,0.0,0.0,0.81
2017-04-09 23:50:00,0.0,0.0,0.81
2017-04-10 00:50:00,0.0,0.0,0.81
2017-04-10 01:50:00,0.0,0.0,0.81
2017-04-10 02:50:00,0.0,0.0,0.81
2017-04-10 03:50:00,0.0,0.0,0.81
2017-04-10 04:50:00,0.0,0.0,0.81
2017-04-10 05:50:00,0.0,0.0,0.81
2017-04-10 06:50:00,0.0,0.0,91.13
2017-04-10 07:50:00,0.0,0.0,259.68
2017-04-10 08:50:00,0.0,0.0,423.39
2017-04-10 09:50:00,0.0,0.0,441.13
2017-04-10 10:50:00,0.0,0.0,366.93
2017-04-10 11:50:00,0.0,0.0,496.77
2017-04-10 12:50:00,0.0,0.0,862.09
2017-04-10 13:50:00,0.0,0.0,822.58
2017-04-10 14:50:00,0.0,0.0,261.29
2017-04-10 15:50:00,0.0,0.0,136.29
2017-04-10 16:50:00,0.0,0.0,100.0
2017-04-10 17:50:00,0.0,0.0,138.71
2017-04-10 18:50:00,0.0,0.0,20.16
2017-04-10 19:50:00,0.0,0.0,0.81
2017-04-10 20:50:00,0.0,0.0,0.81
2017-04-10 21:50:00,0.0,0.0,0.81
2017-04-10 22:50:00,0.0,0.0,0.81
2017-04-10 23:50:00,0.0,0.0,0.81
2017-04-11 00:50:00,0.0,0.0,0.81
2017-04-11 01:50:00,0.0,0.0,0.81
2017-04-11 02:50:00,0.0,0.0,0.81
2017-04-11 03:50:00,0.0,0.0,0.81
2017-04-11 04:50:00,0.0,0.0,0.81
2017-04-11 05:50:00,0.0,0.0,0.81
2017-04-11 06:50:00,0.0,0.0,41.13
2017-04-11 07:50:00,0.0,0.0,131.45
2017-04-11 08:50:00,0.0,0.0,382.26
